tipo_proceso;subtipo_proceso;;etapa_procesal;;juzgado
;;;TRAMITE DE INSOLVENCIA;;(730014303000) JUZGADO CIVIL MUNICIPAL DE EJECUCION DE IBAGUE
;;;AUDIENCIA DE NEGOCIACION DE DEUDAS;;(680013403000) JUZGADO DE EJECUCION CIVIL DEL CIRCUITO DE BUCARAMANGA
;;;ADMITE LIQUIDACION PATRIMONIAL;;(686792204000) DESPACHO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE SAN GIL
;;;PRESENTA PROYECTO DE ADJUDICACION;;(680012502000) DESPACHO 000 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DE SANTANDER
;;;TRASLADO DE PROYECTO DE ADJUDICACION E INVENTARIO DE BIENES;;(540014303000) JUZGADO CIVIL MUNICIPAL DE EJECUCION DE CUCUTA
;;;TERMINADO POR ADJUDICACION DE BIENES;;(680012213000) DESPACHO DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE BUCARAMANGA
;;;ORDENA CESAR LA EJECUCION;;(680012212000) DESPACHO DE LA SALA CIVIL LABORAL DEL TRIBUNAL SUPERIOR DE BUCARAMANGA
;;;TERMINADO POR TRANSACCION;;(680012204000) DESPACHO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE BUCARAMANGA
;;;TERMINADO POR REESTRUCTURACION;;(680012203000) DESPACHO DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE BUCARAMANGA
;;;DECLARA TERMINADO CONTRATO DE LEASING;;(700012204000) DESPACHO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE SINCELEJO
;;;ADMITE PROCESO DE INSOLVENCIA PERSONA NATURAL NO COMERCIANTE;;(660013187000) JUZGADO DE EJECUCION DE PENAS Y MEDIDAS DE SEGURIDAD DEL CIRCUITO DE PEREIRA
;;;TRASLADO PROYECTO DE CALIFICACION Y GRADUACION DE CREDITOS;;(760012221000) DESPACHO DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCION DE TIERRAS DEL TRIBUNAL SUPERIOR DE CALI
;;;DECLARA INCUMPLIMIENTO AL ACUERDO DE NEGOCIACION DE DEUDAS;;(630011231000) DIRECCION SECCIONAL DE LA RAMA JUDICIAL SIN SECCION
;;;AUDIENCIA DE CONFIRMACION ACUERDO DE REORGANIZACION;;(630011270000) DIRECCION SECCIONAL DE LA RAMA JUDICIAL DESCONG CENTRO DE SERVICIOS ADMINISTRATIVOS
;;;ACUERDO DE ADJUDICACION DE BIENES;;(630012205000) DESPACHO DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE ARMENIA
;;;AUDIENCIA DE INCUMPLIMIENTO DEL ACUERDO DE REORGANIZACION;;(630012212000) DESPACHO DE LA SALA CIVIL LABORAL DEL TRIBUNAL SUPERIOR DE ARMENIA
;;;TERMINA PROCESO DE REORGANIZACION EMPRESARIAL;;(660012212000) DESPACHO DE LA SALA CIVIL LABORAL DEL TRIBUNAL SUPERIOR DE PEREIRA
;;;ADMITE PROCESO DE REORGANIZACION EMPRESARIAL;;(660012204000) DESPACHO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE PEREIRA
;;;ADMITE PROCESO DE INSOLVENCIA PERSONA NATURAL COMERCIANTE;;(660012200000) DESPACHO 000 DEL TRIB. SUP. DE DE PEREIRA
;;;APRUEBA ACUERDO DE NEGOCIACION DE DEUDAS;;(630014303000) JUZGADO CIVIL MUNICIPAL DE EJECUCION DE ARMENIA
;;;OBJECIONES AL PROYECTO DE ADJUDICACION E INVENTARIO DE BIENES;;(730012315000) SECRETARIA GENERAL DEL TRIBUNAL ADMINISTRATIVO DE IBAGUE
;;;DESISTIMIENTO DE LAS PRETENSIONES (PAGO DIRECTO);;(680014303000) JUZGADO CIVIL MUNICIPAL DE EJECUCION DE BUCARAMANGA
;;;DEVOLUCION DE DOCUMENTOS A CLIENTE;;(760012210000) DESPACHO DE LA SALA DE FAMILIA DEL TRIBUNAL SUPERIOR DE CALI
